2018-01-18 15:35:41.5696 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-18 15:35:42.0076 DESKTOP-2Q89F24 15 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-18 15:41:45.6444 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:41:45.6444 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:41:45.6444 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:41:45.6444 DESKTOP-2Q89F24 12 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:41:45.6444 DESKTOP-2Q89F24 12 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:41:45.6444 DESKTOP-2Q89F24 12 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:41:45.6444 DESKTOP-2Q89F24 12 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:41:45.6444 DESKTOP-2Q89F24 12 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:41:45.6754 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailFacade Index Begin
2018-01-18 15:41:45.8229 DESKTOP-2Q89F24 5 SRS1 ::1 ZZ1031DetailFacade Index End
2018-01-18 15:41:50.0201 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:41:50.0201 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:41:50.0201 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:41:50.0201 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:41:50.0201 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:41:50.0201 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:41:50.0201 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:41:50.0201 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:41:50.1416 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:41:50.1416 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:41:50.1416 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:41:50.1416 DESKTOP-2Q89F24 7 SRS1 ::1 FacadeBase SecurityCheck End
2018-01-18 15:41:50.1416 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade RegulationCheck Begin
2018-01-18 15:41:50.1416 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade RegulationCheck End
2018-01-18 15:41:50.1416 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade GetPermission Begin
2018-01-18 15:41:50.1481 DESKTOP-2Q89F24 7 SRS1 ::1 LoginFacade GetPermission End
2018-01-18 15:41:50.1481 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031SearchFacade Index Begin
2018-01-18 15:41:50.3566 DESKTOP-2Q89F24 7 SRS1 ::1 ZZ1031SearchFacade Index End
2018-01-18 15:41:53.2905 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication Begin
2018-01-18 15:41:53.2905 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase Authentication End
2018-01-18 15:41:53.2905 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck Begin
2018-01-18 15:41:53.2905 DESKTOP-2Q89F24 6 SRS1 ::1 FacadeBase SecurityCheck End
